FacName,FacStreet,FacCity,FacState,RegistryID,Rdskey,Mfg0019,FacLat,FacLong,FacSNCFlg,FacQtrsWithNC,FacComplianceStatus,CAAComplianceStatus,CWAComplianceStatus,RCRAComplianceStatus,SDWAComplianceStatus,FacInspectionCount,FacPopDen,FacFormalActionCount,FacTotalPenalties,GHGCO2Releases,TRIReleasesTransfers,FacMapFlg,EjscreenFlagUs,PercentBelowLowincome3mile,PercentPeopleOfColor,DFR URL,
MAVERICK ARMS,1001 INDUSTRIAL BOULEVARD,EAGLE PASS,TX,1.10001E+11,57434208,"6,410,963",28.69254,-100.50047,N,0,No Violation Identified,,No Violation Identified,No Violation Identified,,2,2397.35,0,0,,61017,Y,Y,55.66,97.88,https://echo.epa.gov/detailed-facility-report?fid=110000607059,
HERITAGE MANUFACTURING INC,4600 NW 135TH ST,OPA LOCKA,FL,1.10042E+11,15941170,"547,301",25.895957,-80.274104,N,0,No Violation Identified,,,No Violation Identified,,0,5910.38,0,0,,,Y,Y,52.74,95.4,https://echo.epa.gov/detailed-facility-report?fid=110041661724,
TAURUS INTERNATIONAL INC,16175 NW 49TH AVE,HIALEAH,FL,1.10007E+11,15923596,"1,153,532",25.91999,-80.2805,N,0,No Violation Identified,,No Violation Identified,No Violation Identified,,0,6568.44,0,0,,,Y,Y,50.16,94.78,https://echo.epa.gov/detailed-facility-report?fid=110007451952,
KIMBER MFG INC,1 LAWTON ST,YONKERS,NY,1.10004E+11,61334276,"1,158,865",40.91216,-73.88357,N,0,No Violation Identified,,Not Applicable,No Violation Identified,,0,20146.39,0,0,,15589,Y,N,40.01,78.23,https://echo.epa.gov/detailed-facility-report?fid=110004335817,
"BERETTA, U.S.A.",17601 BERETTA DRIVE,ACCOKEEK,MD,1.10001E+11,85207699,"1,765,322",38.64806,-77.03882,Y,11,Significant Violation,No Violation Identified,Failure to Report DMR - Not Received,No Violation Identified,,1,706.07,0,0,,,Y,Y,13.22,71.09,https://echo.epa.gov/detailed-facility-report?fid=110000764281,
ATI CORPORATION,2779 DIRECTORS ROW,SALT LAKE CITY,UT,1.10002E+11,98787363,"615,154",40.74578,-111.95955,N,0,No Violation Identified,,No Violation Identified,No Violation Identified,,0,1739.44,0,0,,,Y,Y,54.18,67.61,https://echo.epa.gov/detailed-facility-report?fid=110002263434,
SMITH & WESSON,2100 ROOSEVELT AVENUE,SPRINGFIELD,MA,1.1E+11,60401684,"14,060,372",42.13722,-72.54706,N,0,No Violation Identified,No Violation Identified,No Violation Identified,No Violation Identified,,3,3987.5,1,58136,,1022783,Y,Y,48.29,60.78,https://echo.epa.gov/detailed-facility-report?fid=110000308293,
SCCY INDUSTRIES LLC,1800 CONCEPT CT,DAYTONA BEACH,FL,1.10046E+11,15903222,"854,637",29.20531,-81.07403,N,0,No Violation Identified,,,No Violation Identified,,1,1447.51,0,0,,,Y,Y,56.2,57.79,https://echo.epa.gov/detailed-facility-report?fid=110046392523,
HENRY REPEATING ARMS CO,59 E 1ST ST,BAYONNE,NJ,1.10068E+11,82200698,"2,488,888",40.6455,-74.12547,N,0,No Violation Identified,,No Violation Identified,,,2,10500.21,1,94770,,6733,Y,N,32.43,57.39,https://echo.epa.gov/detailed-facility-report?fid=110067543064,
COLT MANUFACTURING COMPANY,545 PARK AVE,WEST HARTFORD,CT,1.10011E+11,60633345,"976,328",41.754125,-72.73818,N,0,No Violation Identified,No Violation Identified,No Violation Identified,No Violation Identified,,4,4671.76,1,2500,,45236,Y,N,36.16,54.84,https://echo.epa.gov/detailed-facility-report?fid=110010707930,
